slang,baku,konteks
gw,gue,"Heii kamuu?. Selalu tersenyum ya ksyngn, gw gk tau haru ngapain lagi, gw cma pengen ngingetin sma lu bang. Pasti tau kan bang banyak bngt yang syang sama abang. Pasti ! . termasuk gw bang, dan abang sekarang udh mau 20th , pasti udh tau mana yang baik, dan mana yang buruk, so gw sebagai orang yg sayang sama lu bang, gk mau sampai lu terjerumus ke tempat yang salah, gw tau kok seorang Ali itu gimana, tapi, tapi jangan sampai kehasut atau kebawa dan sampai narik lu ke jurang yang salah bang. Gw sayang sama lu, abang liat banyak bngt yg sayang sama kmu bang. Semoga abang selalu dilindungi dari orang"" yg pengen menjerumuskan kmu ya bang? Gw gk tau harus ngapain lagi selain kasih tau kamu disini bang. Pokoknya aku selalu support kamu, aku selalu syng kamu, Love you #hanyanasehat"
gk,enggak,"Heii kamuu?. Selalu tersenyum ya ksyngn, gw gk tau haru ngapain lagi, gw cma pengen ngingetin sma lu bang. Pasti tau kan bang banyak bngt yang syang sama abang. Pasti ! . termasuk gw bang, dan abang sekarang udh mau 20th , pasti udh tau mana yang baik, dan mana yang buruk, so gw sebagai orang yg sayang sama lu bang, gk mau sampai lu terjerumus ke tempat yang salah, gw tau kok seorang Ali itu gimana, tapi, tapi jangan sampai kehasut atau kebawa dan sampai narik lu ke jurang yang salah bang. Gw sayang sama lu, abang liat banyak bngt yg sayang sama kmu bang. Semoga abang selalu dilindungi dari orang"" yg pengen menjerumuskan kmu ya bang? Gw gk tau harus ngapain lagi selain kasih tau kamu disini bang. Pokoknya aku selalu support kamu, aku selalu syng kamu, Love you #hanyanasehat"
haru,harus,"Heii kamuu?. Selalu tersenyum ya ksyngn, gw gk tau haru ngapain lagi, gw cma pengen ngingetin sma lu bang. Pasti tau kan bang banyak bngt yang syang sama abang. Pasti ! . termasuk gw bang, dan abang sekarang udh mau 20th , pasti udh tau mana yang baik, dan mana yang buruk, so gw sebagai orang yg sayang sama lu bang, gk mau sampai lu terjerumus ke tempat yang salah, gw tau kok seorang Ali itu gimana, tapi, tapi jangan sampai kehasut atau kebawa dan sampai narik lu ke jurang yang salah bang. Gw sayang sama lu, abang liat banyak bngt yg sayang sama kmu bang. Semoga abang selalu dilindungi dari orang"" yg pengen menjerumuskan kmu ya bang? Gw gk tau harus ngapain lagi selain kasih tau kamu disini bang. Pokoknya aku selalu support kamu, aku selalu syng kamu, Love you #hanyanasehat"
ngapain,mengapai,"Heii kamuu?. Selalu tersenyum ya ksyngn, gw gk tau haru ngapain lagi, gw cma pengen ngingetin sma lu bang. Pasti tau kan bang banyak bngt yang syang sama abang. Pasti ! . termasuk gw bang, dan abang sekarang udh mau 20th , pasti udh tau mana yang baik, dan mana yang buruk, so gw sebagai orang yg sayang sama lu bang, gk mau sampai lu terjerumus ke tempat yang salah, gw tau kok seorang Ali itu gimana, tapi, tapi jangan sampai kehasut atau kebawa dan sampai narik lu ke jurang yang salah bang. Gw sayang sama lu, abang liat banyak bngt yg sayang sama kmu bang. Semoga abang selalu dilindungi dari orang"" yg pengen menjerumuskan kmu ya bang? Gw gk tau harus ngapain lagi selain kasih tau kamu disini bang. Pokoknya aku selalu support kamu, aku selalu syng kamu, Love you #hanyanasehat"
gw,gue,"Heii kamuu?. Selalu tersenyum ya ksyngn, gw gk tau haru ngapain lagi, gw cma pengen ngingetin sma lu bang. Pasti tau kan bang banyak bngt yang syang sama abang. Pasti ! . termasuk gw bang, dan abang sekarang udh mau 20th , pasti udh tau mana yang baik, dan mana yang buruk, so gw sebagai orang yg sayang sama lu bang, gk mau sampai lu terjerumus ke tempat yang salah, gw tau kok seorang Ali itu gimana, tapi, tapi jangan sampai kehasut atau kebawa dan sampai narik lu ke jurang yang salah bang. Gw sayang sama lu, abang liat banyak bngt yg sayang sama kmu bang. Semoga abang selalu dilindungi dari orang"" yg pengen menjerumuskan kmu ya bang? Gw gk tau harus ngapain lagi selain kasih tau kamu disini bang. Pokoknya aku selalu support kamu, aku selalu syng kamu, Love you #hanyanasehat"
cma,cuma,"Heii kamuu?. Selalu tersenyum ya ksyngn, gw gk tau haru ngapain lagi, gw cma pengen ngingetin sma lu bang. Pasti tau kan bang banyak bngt yang syang sama abang. Pasti ! . termasuk gw bang, dan abang sekarang udh mau 20th , pasti udh tau mana yang baik, dan mana yang buruk, so gw sebagai orang yg sayang sama lu bang, gk mau sampai lu terjerumus ke tempat yang salah, gw tau kok seorang Ali itu gimana, tapi, tapi jangan sampai kehasut atau kebawa dan sampai narik lu ke jurang yang salah bang. Gw sayang sama lu, abang liat banyak bngt yg sayang sama kmu bang. Semoga abang selalu dilindungi dari orang"" yg pengen menjerumuskan kmu ya bang? Gw gk tau harus ngapain lagi selain kasih tau kamu disini bang. Pokoknya aku selalu support kamu, aku selalu syng kamu, Love you #hanyanasehat"
pengen,pengin,"Heii kamuu?. Selalu tersenyum ya ksyngn, gw gk tau haru ngapain lagi, gw cma pengen ngingetin sma lu bang. Pasti tau kan bang banyak bngt yang syang sama abang. Pasti ! . termasuk gw bang, dan abang sekarang udh mau 20th , pasti udh tau mana yang baik, dan mana yang buruk, so gw sebagai orang yg sayang sama lu bang, gk mau sampai lu terjerumus ke tempat yang salah, gw tau kok seorang Ali itu gimana, tapi, tapi jangan sampai kehasut atau kebawa dan sampai narik lu ke jurang yang salah bang. Gw sayang sama lu, abang liat banyak bngt yg sayang sama kmu bang. Semoga abang selalu dilindungi dari orang"" yg pengen menjerumuskan kmu ya bang? Gw gk tau harus ngapain lagi selain kasih tau kamu disini bang. Pokoknya aku selalu support kamu, aku selalu syng kamu, Love you #hanyanasehat"
ngingetin,mengingatkan,"Heii kamuu?. Selalu tersenyum ya ksyngn, gw gk tau haru ngapain lagi, gw cma pengen ngingetin sma lu bang. Pasti tau kan bang banyak bngt yang syang sama abang. Pasti ! . termasuk gw bang, dan abang sekarang udh mau 20th , pasti udh tau mana yang baik, dan mana yang buruk, so gw sebagai orang yg sayang sama lu bang, gk mau sampai lu terjerumus ke tempat yang salah, gw tau kok seorang Ali itu gimana, tapi, tapi jangan sampai kehasut atau kebawa dan sampai narik lu ke jurang yang salah bang. Gw sayang sama lu, abang liat banyak bngt yg sayang sama kmu bang. Semoga abang selalu dilindungi dari orang"" yg pengen menjerumuskan kmu ya bang? Gw gk tau harus ngapain lagi selain kasih tau kamu disini bang. Pokoknya aku selalu support kamu, aku selalu syng kamu, Love you #hanyanasehat"
sma,sama,"Heii kamuu?. Selalu tersenyum ya ksyngn, gw gk tau haru ngapain lagi, gw cma pengen ngingetin sma lu bang. Pasti tau kan bang banyak bngt yang syang sama abang. Pasti ! . termasuk gw bang, dan abang sekarang udh mau 20th , pasti udh tau mana yang baik, dan mana yang buruk, so gw sebagai orang yg sayang sama lu bang, gk mau sampai lu terjerumus ke tempat yang salah, gw tau kok seorang Ali itu gimana, tapi, tapi jangan sampai kehasut atau kebawa dan sampai narik lu ke jurang yang salah bang. Gw sayang sama lu, abang liat banyak bngt yg sayang sama kmu bang. Semoga abang selalu dilindungi dari orang"" yg pengen menjerumuskan kmu ya bang? Gw gk tau harus ngapain lagi selain kasih tau kamu disini bang. Pokoknya aku selalu support kamu, aku selalu syng kamu, Love you #hanyanasehat"
bngt,banget,"Heii kamuu?. Selalu tersenyum ya ksyngn, gw gk tau haru ngapain lagi, gw cma pengen ngingetin sma lu bang. Pasti tau kan bang banyak bngt yang syang sama abang. Pasti ! . termasuk gw bang, dan abang sekarang udh mau 20th , pasti udh tau mana yang baik, dan mana yang buruk, so gw sebagai orang yg sayang sama lu bang, gk mau sampai lu terjerumus ke tempat yang salah, gw tau kok seorang Ali itu gimana, tapi, tapi jangan sampai kehasut atau kebawa dan sampai narik lu ke jurang yang salah bang. Gw sayang sama lu, abang liat banyak bngt yg sayang sama kmu bang. Semoga abang selalu dilindungi dari orang"" yg pengen menjerumuskan kmu ya bang? Gw gk tau harus ngapain lagi selain kasih tau kamu disini bang. Pokoknya aku selalu support kamu, aku selalu syng kamu, Love you #hanyanasehat"
syang,sayang,"Heii kamuu?. Selalu tersenyum ya ksyngn, gw gk tau haru ngapain lagi, gw cma pengen ngingetin sma lu bang. Pasti tau kan bang banyak bngt yang syang sama abang. Pasti ! . termasuk gw bang, dan abang sekarang udh mau 20th , pasti udh tau mana yang baik, dan mana yang buruk, so gw sebagai orang yg sayang sama lu bang, gk mau sampai lu terjerumus ke tempat yang salah, gw tau kok seorang Ali itu gimana, tapi, tapi jangan sampai kehasut atau kebawa dan sampai narik lu ke jurang yang salah bang. Gw sayang sama lu, abang liat banyak bngt yg sayang sama kmu bang. Semoga abang selalu dilindungi dari orang"" yg pengen menjerumuskan kmu ya bang? Gw gk tau harus ngapain lagi selain kasih tau kamu disini bang. Pokoknya aku selalu support kamu, aku selalu syng kamu, Love you #hanyanasehat"
gw,gue,"Heii kamuu?. Selalu tersenyum ya ksyngn, gw gk tau haru ngapain lagi, gw cma pengen ngingetin sma lu bang. Pasti tau kan bang banyak bngt yang syang sama abang. Pasti ! . termasuk gw bang, dan abang sekarang udh mau 20th , pasti udh tau mana yang baik, dan mana yang buruk, so gw sebagai orang yg sayang sama lu bang, gk mau sampai lu terjerumus ke tempat yang salah, gw tau kok seorang Ali itu gimana, tapi, tapi jangan sampai kehasut atau kebawa dan sampai narik lu ke jurang yang salah bang. Gw sayang sama lu, abang liat banyak bngt yg sayang sama kmu bang. Semoga abang selalu dilindungi dari orang"" yg pengen menjerumuskan kmu ya bang? Gw gk tau harus ngapain lagi selain kasih tau kamu disini bang. Pokoknya aku selalu support kamu, aku selalu syng kamu, Love you #hanyanasehat"
udh,sudah,"Heii kamuu?. Selalu tersenyum ya ksyngn, gw gk tau haru ngapain lagi, gw cma pengen ngingetin sma lu bang. Pasti tau kan bang banyak bngt yang syang sama abang. Pasti ! . termasuk gw bang, dan abang sekarang udh mau 20th , pasti udh tau mana yang baik, dan mana yang buruk, so gw sebagai orang yg sayang sama lu bang, gk mau sampai lu terjerumus ke tempat yang salah, gw tau kok seorang Ali itu gimana, tapi, tapi jangan sampai kehasut atau kebawa dan sampai narik lu ke jurang yang salah bang. Gw sayang sama lu, abang liat banyak bngt yg sayang sama kmu bang. Semoga abang selalu dilindungi dari orang"" yg pengen menjerumuskan kmu ya bang? Gw gk tau harus ngapain lagi selain kasih tau kamu disini bang. Pokoknya aku selalu support kamu, aku selalu syng kamu, Love you #hanyanasehat"
th,tahun,"Heii kamuu?. Selalu tersenyum ya ksyngn, gw gk tau haru ngapain lagi, gw cma pengen ngingetin sma lu bang. Pasti tau kan bang banyak bngt yang syang sama abang. Pasti ! . termasuk gw bang, dan abang sekarang udh mau 20th , pasti udh tau mana yang baik, dan mana yang buruk, so gw sebagai orang yg sayang sama lu bang, gk mau sampai lu terjerumus ke tempat yang salah, gw tau kok seorang Ali itu gimana, tapi, tapi jangan sampai kehasut atau kebawa dan sampai narik lu ke jurang yang salah bang. Gw sayang sama lu, abang liat banyak bngt yg sayang sama kmu bang. Semoga abang selalu dilindungi dari orang"" yg pengen menjerumuskan kmu ya bang? Gw gk tau harus ngapain lagi selain kasih tau kamu disini bang. Pokoknya aku selalu support kamu, aku selalu syng kamu, Love you #hanyanasehat"
udh,sudah,"Heii kamuu?. Selalu tersenyum ya ksyngn, gw gk tau haru ngapain lagi, gw cma pengen ngingetin sma lu bang. Pasti tau kan bang banyak bngt yang syang sama abang. Pasti ! . termasuk gw bang, dan abang sekarang udh mau 20th , pasti udh tau mana yang baik, dan mana yang buruk, so gw sebagai orang yg sayang sama lu bang, gk mau sampai lu terjerumus ke tempat yang salah, gw tau kok seorang Ali itu gimana, tapi, tapi jangan sampai kehasut atau kebawa dan sampai narik lu ke jurang yang salah bang. Gw sayang sama lu, abang liat banyak bngt yg sayang sama kmu bang. Semoga abang selalu dilindungi dari orang"" yg pengen menjerumuskan kmu ya bang? Gw gk tau harus ngapain lagi selain kasih tau kamu disini bang. Pokoknya aku selalu support kamu, aku selalu syng kamu, Love you #hanyanasehat"
gw,gue,"Heii kamuu?. Selalu tersenyum ya ksyngn, gw gk tau haru ngapain lagi, gw cma pengen ngingetin sma lu bang. Pasti tau kan bang banyak bngt yang syang sama abang. Pasti ! . termasuk gw bang, dan abang sekarang udh mau 20th , pasti udh tau mana yang baik, dan mana yang buruk, so gw sebagai orang yg sayang sama lu bang, gk mau sampai lu terjerumus ke tempat yang salah, gw tau kok seorang Ali itu gimana, tapi, tapi jangan sampai kehasut atau kebawa dan sampai narik lu ke jurang yang salah bang. Gw sayang sama lu, abang liat banyak bngt yg sayang sama kmu bang. Semoga abang selalu dilindungi dari orang"" yg pengen menjerumuskan kmu ya bang? Gw gk tau harus ngapain lagi selain kasih tau kamu disini bang. Pokoknya aku selalu support kamu, aku selalu syng kamu, Love you #hanyanasehat"
yg,yang,"Heii kamuu?. Selalu tersenyum ya ksyngn, gw gk tau haru ngapain lagi, gw cma pengen ngingetin sma lu bang. Pasti tau kan bang banyak bngt yang syang sama abang. Pasti ! . termasuk gw bang, dan abang sekarang udh mau 20th , pasti udh tau mana yang baik, dan mana yang buruk, so gw sebagai orang yg sayang sama lu bang, gk mau sampai lu terjerumus ke tempat yang salah, gw tau kok seorang Ali itu gimana, tapi, tapi jangan sampai kehasut atau kebawa dan sampai narik lu ke jurang yang salah bang. Gw sayang sama lu, abang liat banyak bngt yg sayang sama kmu bang. Semoga abang selalu dilindungi dari orang"" yg pengen menjerumuskan kmu ya bang? Gw gk tau harus ngapain lagi selain kasih tau kamu disini bang. Pokoknya aku selalu support kamu, aku selalu syng kamu, Love you #hanyanasehat"
gk,enggak,"Heii kamuu?. Selalu tersenyum ya ksyngn, gw gk tau haru ngapain lagi, gw cma pengen ngingetin sma lu bang. Pasti tau kan bang banyak bngt yang syang sama abang. Pasti ! . termasuk gw bang, dan abang sekarang udh mau 20th , pasti udh tau mana yang baik, dan mana yang buruk, so gw sebagai orang yg sayang sama lu bang, gk mau sampai lu terjerumus ke tempat yang salah, gw tau kok seorang Ali itu gimana, tapi, tapi jangan sampai kehasut atau kebawa dan sampai narik lu ke jurang yang salah bang. Gw sayang sama lu, abang liat banyak bngt yg sayang sama kmu bang. Semoga abang selalu dilindungi dari orang"" yg pengen menjerumuskan kmu ya bang? Gw gk tau harus ngapain lagi selain kasih tau kamu disini bang. Pokoknya aku selalu support kamu, aku selalu syng kamu, Love you #hanyanasehat"
gw,gue,"Heii kamuu?. Selalu tersenyum ya ksyngn, gw gk tau haru ngapain lagi, gw cma pengen ngingetin sma lu bang. Pasti tau kan bang banyak bngt yang syang sama abang. Pasti ! . termasuk gw bang, dan abang sekarang udh mau 20th , pasti udh tau mana yang baik, dan mana yang buruk, so gw sebagai orang yg sayang sama lu bang, gk mau sampai lu terjerumus ke tempat yang salah, gw tau kok seorang Ali itu gimana, tapi, tapi jangan sampai kehasut atau kebawa dan sampai narik lu ke jurang yang salah bang. Gw sayang sama lu, abang liat banyak bngt yg sayang sama kmu bang. Semoga abang selalu dilindungi dari orang"" yg pengen menjerumuskan kmu ya bang? Gw gk tau harus ngapain lagi selain kasih tau kamu disini bang. Pokoknya aku selalu support kamu, aku selalu syng kamu, Love you #hanyanasehat"
narik,menarik,"Heii kamuu?. Selalu tersenyum ya ksyngn, gw gk tau haru ngapain lagi, gw cma pengen ngingetin sma lu bang. Pasti tau kan bang banyak bngt yang syang sama abang. Pasti ! . termasuk gw bang, dan abang sekarang udh mau 20th , pasti udh tau mana yang baik, dan mana yang buruk, so gw sebagai orang yg sayang sama lu bang, gk mau sampai lu terjerumus ke tempat yang salah, gw tau kok seorang Ali itu gimana, tapi, tapi jangan sampai kehasut atau kebawa dan sampai narik lu ke jurang yang salah bang. Gw sayang sama lu, abang liat banyak bngt yg sayang sama kmu bang. Semoga abang selalu dilindungi dari orang"" yg pengen menjerumuskan kmu ya bang? Gw gk tau harus ngapain lagi selain kasih tau kamu disini bang. Pokoknya aku selalu support kamu, aku selalu syng kamu, Love you #hanyanasehat"
gw,gue,"Heii kamuu?. Selalu tersenyum ya ksyngn, gw gk tau haru ngapain lagi, gw cma pengen ngingetin sma lu bang. Pasti tau kan bang banyak bngt yang syang sama abang. Pasti ! . termasuk gw bang, dan abang sekarang udh mau 20th , pasti udh tau mana yang baik, dan mana yang buruk, so gw sebagai orang yg sayang sama lu bang, gk mau sampai lu terjerumus ke tempat yang salah, gw tau kok seorang Ali itu gimana, tapi, tapi jangan sampai kehasut atau kebawa dan sampai narik lu ke jurang yang salah bang. Gw sayang sama lu, abang liat banyak bngt yg sayang sama kmu bang. Semoga abang selalu dilindungi dari orang"" yg pengen menjerumuskan kmu ya bang? Gw gk tau harus ngapain lagi selain kasih tau kamu disini bang. Pokoknya aku selalu support kamu, aku selalu syng kamu, Love you #hanyanasehat"
liat,lihat,"Heii kamuu?. Selalu tersenyum ya ksyngn, gw gk tau haru ngapain lagi, gw cma pengen ngingetin sma lu bang. Pasti tau kan bang banyak bngt yang syang sama abang. Pasti ! . termasuk gw bang, dan abang sekarang udh mau 20th , pasti udh tau mana yang baik, dan mana yang buruk, so gw sebagai orang yg sayang sama lu bang, gk mau sampai lu terjerumus ke tempat yang salah, gw tau kok seorang Ali itu gimana, tapi, tapi jangan sampai kehasut atau kebawa dan sampai narik lu ke jurang yang salah bang. Gw sayang sama lu, abang liat banyak bngt yg sayang sama kmu bang. Semoga abang selalu dilindungi dari orang"" yg pengen menjerumuskan kmu ya bang? Gw gk tau harus ngapain lagi selain kasih tau kamu disini bang. Pokoknya aku selalu support kamu, aku selalu syng kamu, Love you #hanyanasehat"
bngt,banget,"Heii kamuu?. Selalu tersenyum ya ksyngn, gw gk tau haru ngapain lagi, gw cma pengen ngingetin sma lu bang. Pasti tau kan bang banyak bngt yang syang sama abang. Pasti ! . termasuk gw bang, dan abang sekarang udh mau 20th , pasti udh tau mana yang baik, dan mana yang buruk, so gw sebagai orang yg sayang sama lu bang, gk mau sampai lu terjerumus ke tempat yang salah, gw tau kok seorang Ali itu gimana, tapi, tapi jangan sampai kehasut atau kebawa dan sampai narik lu ke jurang yang salah bang. Gw sayang sama lu, abang liat banyak bngt yg sayang sama kmu bang. Semoga abang selalu dilindungi dari orang"" yg pengen menjerumuskan kmu ya bang? Gw gk tau harus ngapain lagi selain kasih tau kamu disini bang. Pokoknya aku selalu support kamu, aku selalu syng kamu, Love you #hanyanasehat"
yg,yang,"Heii kamuu?. Selalu tersenyum ya ksyngn, gw gk tau haru ngapain lagi, gw cma pengen ngingetin sma lu bang. Pasti tau kan bang banyak bngt yang syang sama abang. Pasti ! . termasuk gw bang, dan abang sekarang udh mau 20th , pasti udh tau mana yang baik, dan mana yang buruk, so gw sebagai orang yg sayang sama lu bang, gk mau sampai lu terjerumus ke tempat yang salah, gw tau kok seorang Ali itu gimana, tapi, tapi jangan sampai kehasut atau kebawa dan sampai narik lu ke jurang yang salah bang. Gw sayang sama lu, abang liat banyak bngt yg sayang sama kmu bang. Semoga abang selalu dilindungi dari orang"" yg pengen menjerumuskan kmu ya bang? Gw gk tau harus ngapain lagi selain kasih tau kamu disini bang. Pokoknya aku selalu support kamu, aku selalu syng kamu, Love you #hanyanasehat"
kmu,kamu,"Heii kamuu?. Selalu tersenyum ya ksyngn, gw gk tau haru ngapain lagi, gw cma pengen ngingetin sma lu bang. Pasti tau kan bang banyak bngt yang syang sama abang. Pasti ! . termasuk gw bang, dan abang sekarang udh mau 20th , pasti udh tau mana yang baik, dan mana yang buruk, so gw sebagai orang yg sayang sama lu bang, gk mau sampai lu terjerumus ke tempat yang salah, gw tau kok seorang Ali itu gimana, tapi, tapi jangan sampai kehasut atau kebawa dan sampai narik lu ke jurang yang salah bang. Gw sayang sama lu, abang liat banyak bngt yg sayang sama kmu bang. Semoga abang selalu dilindungi dari orang"" yg pengen menjerumuskan kmu ya bang? Gw gk tau harus ngapain lagi selain kasih tau kamu disini bang. Pokoknya aku selalu support kamu, aku selalu syng kamu, Love you #hanyanasehat"
orang,orang-orang,"Heii kamuu?. Selalu tersenyum ya ksyngn, gw gk tau haru ngapain lagi, gw cma pengen ngingetin sma lu bang. Pasti tau kan bang banyak bngt yang syang sama abang. Pasti ! . termasuk gw bang, dan abang sekarang udh mau 20th , pasti udh tau mana yang baik, dan mana yang buruk, so gw sebagai orang yg sayang sama lu bang, gk mau sampai lu terjerumus ke tempat yang salah, gw tau kok seorang Ali itu gimana, tapi, tapi jangan sampai kehasut atau kebawa dan sampai narik lu ke jurang yang salah bang. Gw sayang sama lu, abang liat banyak bngt yg sayang sama kmu bang. Semoga abang selalu dilindungi dari orang"" yg pengen menjerumuskan kmu ya bang? Gw gk tau harus ngapain lagi selain kasih tau kamu disini bang. Pokoknya aku selalu support kamu, aku selalu syng kamu, Love you #hanyanasehat"
yg,yang,"Heii kamuu?. Selalu tersenyum ya ksyngn, gw gk tau haru ngapain lagi, gw cma pengen ngingetin sma lu bang. Pasti tau kan bang banyak bngt yang syang sama abang. Pasti ! . termasuk gw bang, dan abang sekarang udh mau 20th , pasti udh tau mana yang baik, dan mana yang buruk, so gw sebagai orang yg sayang sama lu bang, gk mau sampai lu terjerumus ke tempat yang salah, gw tau kok seorang Ali itu gimana, tapi, tapi jangan sampai kehasut atau kebawa dan sampai narik lu ke jurang yang salah bang. Gw sayang sama lu, abang liat banyak bngt yg sayang sama kmu bang. Semoga abang selalu dilindungi dari orang"" yg pengen menjerumuskan kmu ya bang? Gw gk tau harus ngapain lagi selain kasih tau kamu disini bang. Pokoknya aku selalu support kamu, aku selalu syng kamu, Love you #hanyanasehat"
pengen,pengin,"Heii kamuu?. Selalu tersenyum ya ksyngn, gw gk tau haru ngapain lagi, gw cma pengen ngingetin sma lu bang. Pasti tau kan bang banyak bngt yang syang sama abang. Pasti ! . termasuk gw bang, dan abang sekarang udh mau 20th , pasti udh tau mana yang baik, dan mana yang buruk, so gw sebagai orang yg sayang sama lu bang, gk mau sampai lu terjerumus ke tempat yang salah, gw tau kok seorang Ali itu gimana, tapi, tapi jangan sampai kehasut atau kebawa dan sampai narik lu ke jurang yang salah bang. Gw sayang sama lu, abang liat banyak bngt yg sayang sama kmu bang. Semoga abang selalu dilindungi dari orang"" yg pengen menjerumuskan kmu ya bang? Gw gk tau harus ngapain lagi selain kasih tau kamu disini bang. Pokoknya aku selalu support kamu, aku selalu syng kamu, Love you #hanyanasehat"
kmu,kamu,"Heii kamuu?. Selalu tersenyum ya ksyngn, gw gk tau haru ngapain lagi, gw cma pengen ngingetin sma lu bang. Pasti tau kan bang banyak bngt yang syang sama abang. Pasti ! . termasuk gw bang, dan abang sekarang udh mau 20th , pasti udh tau mana yang baik, dan mana yang buruk, so gw sebagai orang yg sayang sama lu bang, gk mau sampai lu terjerumus ke tempat yang salah, gw tau kok seorang Ali itu gimana, tapi, tapi jangan sampai kehasut atau kebawa dan sampai narik lu ke jurang yang salah bang. Gw sayang sama lu, abang liat banyak bngt yg sayang sama kmu bang. Semoga abang selalu dilindungi dari orang"" yg pengen menjerumuskan kmu ya bang? Gw gk tau harus ngapain lagi selain kasih tau kamu disini bang. Pokoknya aku selalu support kamu, aku selalu syng kamu, Love you #hanyanasehat"
gw,gue,"Heii kamuu?. Selalu tersenyum ya ksyngn, gw gk tau haru ngapain lagi, gw cma pengen ngingetin sma lu bang. Pasti tau kan bang banyak bngt yang syang sama abang. Pasti ! . termasuk gw bang, dan abang sekarang udh mau 20th , pasti udh tau mana yang baik, dan mana yang buruk, so gw sebagai orang yg sayang sama lu bang, gk mau sampai lu terjerumus ke tempat yang salah, gw tau kok seorang Ali itu gimana, tapi, tapi jangan sampai kehasut atau kebawa dan sampai narik lu ke jurang yang salah bang. Gw sayang sama lu, abang liat banyak bngt yg sayang sama kmu bang. Semoga abang selalu dilindungi dari orang"" yg pengen menjerumuskan kmu ya bang? Gw gk tau harus ngapain lagi selain kasih tau kamu disini bang. Pokoknya aku selalu support kamu, aku selalu syng kamu, Love you #hanyanasehat"
gk,enggak,"Heii kamuu?. Selalu tersenyum ya ksyngn, gw gk tau haru ngapain lagi, gw cma pengen ngingetin sma lu bang. Pasti tau kan bang banyak bngt yang syang sama abang. Pasti ! . termasuk gw bang, dan abang sekarang udh mau 20th , pasti udh tau mana yang baik, dan mana yang buruk, so gw sebagai orang yg sayang sama lu bang, gk mau sampai lu terjerumus ke tempat yang salah, gw tau kok seorang Ali itu gimana, tapi, tapi jangan sampai kehasut atau kebawa dan sampai narik lu ke jurang yang salah bang. Gw sayang sama lu, abang liat banyak bngt yg sayang sama kmu bang. Semoga abang selalu dilindungi dari orang"" yg pengen menjerumuskan kmu ya bang? Gw gk tau harus ngapain lagi selain kasih tau kamu disini bang. Pokoknya aku selalu support kamu, aku selalu syng kamu, Love you #hanyanasehat"
ngapain,mengapai,"Heii kamuu?. Selalu tersenyum ya ksyngn, gw gk tau haru ngapain lagi, gw cma pengen ngingetin sma lu bang. Pasti tau kan bang banyak bngt yang syang sama abang. Pasti ! . termasuk gw bang, dan abang sekarang udh mau 20th , pasti udh tau mana yang baik, dan mana yang buruk, so gw sebagai orang yg sayang sama lu bang, gk mau sampai lu terjerumus ke tempat yang salah, gw tau kok seorang Ali itu gimana, tapi, tapi jangan sampai kehasut atau kebawa dan sampai narik lu ke jurang yang salah bang. Gw sayang sama lu, abang liat banyak bngt yg sayang sama kmu bang. Semoga abang selalu dilindungi dari orang"" yg pengen menjerumuskan kmu ya bang? Gw gk tau harus ngapain lagi selain kasih tau kamu disini bang. Pokoknya aku selalu support kamu, aku selalu syng kamu, Love you #hanyanasehat"
syng,sayang,"Heii kamuu?. Selalu tersenyum ya ksyngn, gw gk tau haru ngapain lagi, gw cma pengen ngingetin sma lu bang. Pasti tau kan bang banyak bngt yang syang sama abang. Pasti ! . termasuk gw bang, dan abang sekarang udh mau 20th , pasti udh tau mana yang baik, dan mana yang buruk, so gw sebagai orang yg sayang sama lu bang, gk mau sampai lu terjerumus ke tempat yang salah, gw tau kok seorang Ali itu gimana, tapi, tapi jangan sampai kehasut atau kebawa dan sampai narik lu ke jurang yang salah bang. Gw sayang sama lu, abang liat banyak bngt yg sayang sama kmu bang. Semoga abang selalu dilindungi dari orang"" yg pengen menjerumuskan kmu ya bang? Gw gk tau harus ngapain lagi selain kasih tau kamu disini bang. Pokoknya aku selalu support kamu, aku selalu syng kamu, Love you #hanyanasehat"
nyanyiin,menyanyikan,Kak ali nyanyiin lagu buat kak prilly ya cie-cie
tuhh,tuh,Kakak tuhh...
amatt,amat,"Nyanyi nya lucu,,, nex serius amatt ngk tau tau nya hilang kosentrasi,,, senyum gt,,, hahaha ,,,tetep gokilll hehehehe"
ngk,enggak,"Nyanyi nya lucu,,, nex serius amatt ngk tau tau nya hilang kosentrasi,,, senyum gt,,, hahaha ,,,tetep gokilll hehehehe"
gt,begitu,"Nyanyi nya lucu,,, nex serius amatt ngk tau tau nya hilang kosentrasi,,, senyum gt,,, hahaha ,,,tetep gokilll hehehehe"
tetep,tetap,"Nyanyi nya lucu,,, nex serius amatt ngk tau tau nya hilang kosentrasi,,, senyum gt,,, hahaha ,,,tetep gokilll hehehehe"
gokilll,gila,"Nyanyi nya lucu,,, nex serius amatt ngk tau tau nya hilang kosentrasi,,, senyum gt,,, hahaha ,,,tetep gokilll hehehehe"
gantenggg,ganteng,Gantenggg
astagaaaa,astaga,Bulu Mata astagaaaa
hancuuuuuy,hancur,hancuuuuuy liyuuuuy dapat mwuachnya mas ai @kuman__ ???
mattihhh,mati,@mfatihulihsan mattihhh koenn
aja,saja,@dianferdin tahan aja dulu ?
kaka,kakak,"@raisa6690 kaka kulit aku sama kaya kaka , sama sama putih, aku juga pake produkl@DR.NATASYA_TUBUHIDEAL gak nyesel deh ka :)"
